year,month,code,description,description,price
2020,05,SEK,Corona sueca,10.8883
2020,05,CHF,Franc suís,1.0511
2020,05,USD,Dòlar USA,1.0772
2020,05,CAD,Dòlar canadenc,1.5226
2020,05,JPY,Ien,115.75
2020,05,HKD,Dòlar Hong Kong,8.3489
2020,06,GBP,Lliura esterlina,0.8887
2020,06,DKK,Corona danesa,7.3441
2020,06,NOK,Corona noruega,10.7459
2020,06,SEK,Corona sueca,10.3991
2020,06,CHF,Franc suís,1.0519
2020,06,USD,Dòlar USA,1.0884
2020,06,CAD,Dòlar canadenc,1.506
2020,06,JPY,Ien,116.7193
2020,06,HKD,Dòlar Hong Kong,8.3606
2020,07,GBP,Lliura esterlina,0.8972
2020,07,DKK,Corona danesa,7.3435
2020,07,NOK,Corona noruega,10.5455
2020,07,SEK,Corona sueca,10.4008
2020,07,CHF,Franc suís,1.0614
2020,07,USD,Dòlar USA,1.1149
2020,07,CAD,Dòlar canadenc,1.5076
2020,07,JPY,Ien,118.5768
2020,07,HKD,Dòlar Hong Kong,8.5635
2020,08,GBP,Lliura esterlina,0.9178
2020,08,DKK,Corona danesa,7.555
2020,08,NOK,Corona noruega,10.5455
2020,08,SEK,Corona sueca,10.4506
2020,08,CHF,Franc suís,1.081
2020,08,USD,Dòlar USA,1.1773
2020,08,CAD,Dòlar canadenc,1.5823
2020,08,JPY,Ien,124.8573
2020,08,HKD,Dòlar Hong Kong,9.2067
2020,09,GBP,Lliura esterlina,0.9066
2020,09,DKK,Corona danesa,7.5579
2020,09,NOK,Corona noruega,10.6999
2020,09,SEK,Corona sueca,10.4727
2020,09,CHF,Franc suís,1.084
2020,09,USD,Dòlar USA,1.2013
2020,09,CAD,Dòlar canadenc,1.5857
2020,09,JPY,Ien,127.1316
2020,09,HKD,Dòlar Hong Kong,9.3916
2020,10,GBP,Lliura esterlina,0.9178
2020,10,DKK,Corona danesa,7.5541
2020,10,NOK,Corona noruega,11.2688
2020,10,SEK,Corona sueca,10.738
2020,10,CHF,Franc suís,1.0837
2020,10,USD,Dòlar USA,1.1715
